job_position_title,company_name
Data Analyst,FlightHub
E-Commerce Data Analyst,Vivier Pharma
Data Analyst,Value Partners Investments
Data Analyst,Actalent
Business Process & Data Analyst,University Health Network
Calgary Based Data Analyst II/III - MFL/GEO Pipeline In-Line Inspection,ENTEGRA
Business Intelligence Analyst,Toronto Blue Jays
Data Analyst (Bilingual - EN/ES),Braintrust
Business Intelligence Analyst,GRICS
Signals Intelligence Specialist,Canadian Armed Forces
Quantitative Analyst,Affirm
Data Analyst,Alberta Health Services
Data Analyst,Ciena
Senior Statistician,AstraZeneca
Quantitative Analyst II,Affirm
Specialist Predictive Analytics,BHP
Data Analyst,Neighbourly Pharmacy
